未知地区,#genre#
sCCTV5体育,http://112.30.73.119:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
4CCTV6电影,http://112.30.73.119:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0
sCCTV6电影,http://112.30.73.119:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
4CCTV8电视剧,http://112.30.73.119:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
sCCTV8电视剧,http://112.30.73.119:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV9纪录,http://112.30.73.119:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV10科教,http://112.30.73.119:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV11戏曲,http://112.30.73.119:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV12社会与法,http://112.30.73.119:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV13新闻,http://112.30.73.119:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV14少儿,http://112.30.73.119:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
sCCTV15音乐,http://112.30.73.119:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://112.123.243.37:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://112.123.243.37:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://112.123.243.37:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://112.123.243.37:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.123.243.37:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://112.123.243.37:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.123.243.37:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://112.123.243.37:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://112.123.243.37:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://112.123.243.37:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://112.123.243.37:50085/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://112.123.243.37:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://112.123.243.37:50085/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://112.123.243.37:50085/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://112.123.243.37:50085/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://112.123.243.37:50085/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
厦门卫视,http://112.123.243.37:50085/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://112.123.243.37:50085/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://112.123.243.37:50085/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://112.123.243.37:50085/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://112.123.243.37:50085/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://112.123.243.37:50085/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://112.123.243.37:50085/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://112.123.243.37:50085/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://112.123.243.37:50085/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://112.123.243.37:50085/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://112.123.243.37:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://112.123.243.37:50085/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://112.123.243.37:50085/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://112.123.243.37:50085/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://112.123.243.37:50085/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://112.123.243.37:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://112.123.243.37:50085/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://112.123.243.37:50085/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://112.123.243.37:50085/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://112.123.243.37:50085/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://112.123.243.37:50085/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://112.123.243.37:50085/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://112.123.243.37:50085/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://112.123.243.37:50085/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://112.123.243.37:50085/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
安徽经视,http://112.123.243.37:50085/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
财富天下,http://112.123.243.37:50085/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV11,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV17,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000075
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060
兵团卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000462
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098
北京卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069
天津卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000266
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097
江苏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000198
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065
河北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000575
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085
浙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000265
海南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000088
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577
辽宁卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000472
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096
黑龙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196
CETV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000463
CETV2,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000251
CETV4,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000252
光影,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000516
军事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000507
军旅剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000500
动作影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000525
动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000512
卡酷动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000150
古装剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000501
台球,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000518
喜剧影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000524
嘉佳卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000448
国学,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000509
地理,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000498
墨宝,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000515
好学生,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000513
家庭影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000526
山东教育,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000248
戏曲,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000510
