央视卫视,#genre#
东方卫视,http://156.238.248.80:8880/play/159.967730.m3u8
江苏卫视,http://156.238.248.80:8880/play/160.700890.m3u8
广东卫视,http://156.238.248.80:8880/play/161.338487.m3u8
北京卫视,http://156.238.248.80:8880/play/162.847306.m3u8
辽宁卫视,http://156.238.248.80:8880/play/163.589843.m3u8
河北卫视,http://156.238.248.80:8880/play/164.899628.m3u8
江西卫视,http://156.238.248.80:8880/play/165.371007.m3u8
陕西卫视,http://156.238.248.80:8880/play/166.372020.m3u8
湖北卫视,http://156.238.248.80:8880/play/167.777803.m3u8
农林卫视,http://156.238.248.80:8880/play/168.666599.m3u8
兵团卫视,http://156.238.248.80:8880/play/169.851264.m3u8
上海新闻综合,http://156.238.248.80:8880/play/170.405343.m3u8
上视东方影视,http://156.238.248.80:8880/play/171.554234.m3u8
公共新闻频道,http://156.238.248.80:8880/play/172.440204.m3u8
盐城新闻综合,http://156.238.248.80:8880/play/173.249555.m3u8
江阴新闻综合,http://156.238.248.80:8880/play/174.922032.m3u8
南通新闻综合,http://156.238.248.80:8880/play/175.573821.m3u8
宜兴新闻综合,http://156.238.248.80:8880/play/176.246263.m3u8
溧水新闻综合,http://156.238.248.80:8880/play/177.839118.m3u8
陕西银龄频道,http://156.238.248.80:8880/play/178.556466.m3u8
陕西都市青春频道,http://156.238.248.80:8880/play/179.765629.m3u8
陕西秦腔频道,http://156.238.248.80:8880/play/180.196415.m3u8
陕西新闻资讯频道,http://156.238.248.80:8880/play/181.467939.m3u8
财富天下,http://156.238.248.80:8880/play/182.633527.m3u8
辽宁公共频道,http://156.238.248.80:8880/play/183.990831.m3u8
辽宁生活频道,http://156.238.248.80:8880/play/184.763864.m3u8
辽宁影视剧频道,http://156.238.248.80:8880/play/185.853642.m3u8
宁夏文旅频道,http://156.238.248.80:8880/play/186.665882.m3u8
宁夏经济频道,http://156.238.248.80:8880/play/187.913739.m3u8
经典香港电影,http://156.238.248.80:8880/play/188.961426.m3u8
抗战经典影片,http://156.238.248.80:8880/play/189.999433.m3u8
新片放映厅,http://156.238.248.80:8880/play/190.126369.m3u8
CHC影迷电影,http://156.238.248.80:8880/play/191.667192.m3u8
CHC动作电影,http://156.238.248.80:8880/play/192.589342.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/193.939424.m3u8
和美乡途轮播台,http://156.238.248.80:8880/play/194.874475.m3u8
最强综艺趴,http://156.238.248.80:8880/play/195.975404.m3u8
体育-昨天,#genre#
意甲 科莫VS那不勒斯 全场回放（石庆圣） 23:45,http://156.238.248.80:8880/play/196.566566.m3u8
伦敦团体世乒赛 中国女团迎连胜 中国男团1-3韩国 【男团小组赛A阶段】中国1-3韩国（周泽昊、侯英超、周冠达） 00:00,http://156.238.248.80:8880/play/197.806355.m3u8
伦敦团体世乒赛 中国女团迎连胜 中国男团1-3韩国 【女团小组赛A阶段】中国3-0中国台北（周泽昊、侯英超、周冠达） 00:00,http://156.238.248.80:8880/play/198.810028.m3u8
伦敦团体世乒赛 中国女团迎连胜 中国男团1-3韩国 全场回放（世乒赛观察室） 00:00,http://156.238.248.80:8880/play/199.922875.m3u8
伦敦团体世乒赛 中国女团迎连胜 中国男团1-3韩国 全场回放（英文解说） 00:00,http://156.238.248.80:8880/play/200.146209.m3u8
伦敦团体世乒赛 中国女团VS中国台北女团 【回放】蒯曼3-0吴映萱 23:30,http://156.238.248.80:8880/play/201.169628.m3u8
伦敦团体世乒赛 中国女团VS中国台北女团 【回放】王艺迪3-0叶伊恬 23:30,http://156.238.248.80:8880/play/202.307966.m3u8
伦敦团体世乒赛 中国女团VS中国台北女团 【回放】陈幸同3-0陈思羽 23:30,http://156.238.248.80:8880/play/203.958606.m3u8
伦敦团体世乒赛 中国女团VS中国台北女团 全场回放（周泽昊、侯英超、周冠达） 23:30,http://156.238.248.80:8880/play/204.684756.m3u8
伦敦团体世乒赛 中国女团VS中国台北女团 全场回放 23:30,http://156.238.248.80:8880/play/205.669165.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【回放】石宇奇2-0安东森（余博洋） 00:00,http://156.238.248.80:8880/play/206.895340.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【回放】李诗沣2-1马格纳斯（余博洋） 00:00,http://156.238.248.80:8880/play/207.723590.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【回放】梁伟铿/王昶2-0阿斯特鲁普/安德斯（余博洋） 00:00,http://156.238.248.80:8880/play/208.394592.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【全场回放】中国3-0丹麦（余博洋） 00:00,http://156.238.248.80:8880/play/209.740377.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【全场回放】法国3-0印度（朱胤丞） 00:00,http://156.238.248.80:8880/play/210.143809.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【全场回放】中国3-0丹麦（赛场原声） 00:00,http://156.238.248.80:8880/play/211.964384.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 【全场回放】一号场地（英文原声） 00:00,http://156.238.248.80:8880/play/212.390355.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 二号场地全场回放（赛场原声） 00:00,http://156.238.248.80:8880/play/213.351839.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 一号场地全场回放（赛场原声） 00:00,http://156.238.248.80:8880/play/214.953385.m3u8
BWF 汤杯决赛对阵出炉！中国将对战法国 二号场地全场回放（英文原声） 00:00,http://156.238.248.80:8880/play/215.358427.m3u8
BWF 中国VS丹麦 【回放】石宇奇2-0安东森（余博洋） 00:00,http://156.238.248.80:8880/play/216.577162.m3u8
BWF 中国VS丹麦 【回放】梁伟铿/王昶2-0阿斯特鲁普/安德斯（余博洋） 00:00,http://156.238.248.80:8880/play/217.886369.m3u8
BWF 中国VS丹麦 【回放】李诗沣2-1马格纳斯（余博洋） 00:00,http://156.238.248.80:8880/play/218.423297.m3u8
BWF 中国VS丹麦 【全场回放】中国3-0丹麦（余博洋） 00:00,http://156.238.248.80:8880/play/219.274754.m3u8
英超 阿森纳VS富勒姆 全场回放（詹俊、张路、程思钦） 00:00,http://156.238.248.80:8880/play/220.415548.m3u8
英超 阿森纳VS富勒姆 全场回放（陈凯冬、陆毅隽） 00:00,http://156.238.248.80:8880/play/221.998154.m3u8
德甲 勒沃库森VSRB莱比锡 全场回放（吴子越） 00:15,http://156.238.248.80:8880/play/222.732400.m3u8
西甲 阿拉维斯VS毕尔巴鄂竞技 全场回放（张天翼） 00:15,http://156.238.248.80:8880/play/223.140716.m3u8
法甲 梅斯VS摩纳哥 全场回放（邵煊） 00:45,http://156.238.248.80:8880/play/224.954892.m3u8
斯诺克 吴宜泽VS马克·艾伦 【回放】吴宜泽17-16马克·艾伦（第四阶段）（朱峰立） 02:00,http://156.238.248.80:8880/play/225.336653.m3u8
斯诺克 吴宜泽VS马克·艾伦 【回放】吴宜泽17-16马克·艾伦（第四阶段）（赛场原声） 02:00,http://156.238.248.80:8880/play/226.924916.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 【回放】林诗栋3-0金章元 23:30,http://156.238.248.80:8880/play/227.145707.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 【回放】梁靖崑1-3吴晙诚 23:30,http://156.238.248.80:8880/play/228.251610.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 【回放】周启豪1-3安宰贤 23:30,http://156.238.248.80:8880/play/229.816947.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 【回放】林诗栋1-3吴晙诚 23:30,http://156.238.248.80:8880/play/230.937417.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 全场回放（周泽昊、侯英超、周冠达） 23:30,http://156.238.248.80:8880/play/231.958729.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 全场回放（朱子恒） 23:30,http://156.238.248.80:8880/play/232.242086.m3u8
伦敦团体世乒赛 中国男团VS韩国男团 全场回放 23:30,http://156.238.248.80:8880/play/233.320695.m3u8
意甲 亚特兰大VS热那亚 全场回放（乔迁） 02:30,http://156.238.248.80:8880/play/234.920025.m3u8
西甲 奥萨苏纳VS巴塞罗那 全场回放（梁祥宇、李欣） 02:45,http://156.238.248.80:8880/play/235.649927.m3u8
法甲 尼斯VS朗斯 全场回放（张天翼） 02:50,http://156.238.248.80:8880/play/236.956729.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛全场回放（赛场原声） 07:00,http://156.238.248.80:8880/play/237.822736.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛回放：加奇-拉巴达诺夫VS亚历山大-奇佐夫  07:00,http://156.238.248.80:8880/play/238.120290.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛全场回放（英文原声） 07:00,http://156.238.248.80:8880/play/239.248317.m3u8
PFL 桑托斯TKO严启慧 斯托利摔柔碾压赞德利 PFL苏瀑市站主赛全场回放（陈瑞阳） 07:00,http://156.238.248.80:8880/play/240.924358.m3u8
